"ano","estado_civil","idade","raca","renda","partido","religiao","denominacao","horas_tv"
2000,"Divorciado(a)",36,"Negra","US$ 15000 - 19999","Fortemente democrata","Nenhuma","Não se aplica",NA
2000,"Nunca casou",52,"Branca","Não se aplica","Independente, inclinação democrata","Outra","Não se aplica",1
2000,"Nunca casou",26,"Branca","US$ 25000 ou mais","Independente, inclinação republicana","Nenhuma","Não se aplica",1
2000,"Nunca casou",46,"Branca","US$ 10000 - 14999","Fortemente democrata","Católica","Não se aplica",NA
2000,"Casado(a)",65,"Branca","US$ 25000 ou mais","Fortemente republicano","Protestante","Batistas do sul",1
2000,"Casado(a)",52,"Branca","US$ 3000 - 3999","Independente, inclinação republicana","Protestante","Igreja Presbiteriana dos EUA",4
2000,"Casado(a)",56,"Branca","US$ 25000 ou mais","Não fortemente repubicano","Protestante","Episcopal",5
2000,"Casado(a)",66,"Branca","US$ 25000 ou mais","Fortemente republicano","Protestante","Batistas do sul",3
2000,"Nunca casou",20,"Branca","US$ 15000 - 19999","Fortemente republicano","Protestante","Metodista, não sabe qual",2
2000,"Casado(a)",64,"Branca","US$ 5000 - 5999","Fortemente republicano","Protestante","Outra",NA
2000,"Casado(a)",59,"Branca","US$ 25000 ou mais","Fortemente democrata","Protestante","Outra",NA
2000,"Casado(a)",46,"Branca","Não se aplica","Não fortemente repubicano","Protestante","Sem denominação",3
2000,"Casado(a)",26,"Outra","US$ 10000 - 14999","Não fortemente democrata","Nenhuma","Não se aplica",2
2000,"Divorciado(a)",39,"Negra","Não sabe","Independente","Nenhuma","Não se aplica",NA
2000,"Divorciado(a)",51,"Branca","US$ 20000 - 24999","Independente","Protestante","Batista, não sabe qual",2
2000,"Divorciado(a)",45,"Branca","US$ 25000 ou mais","Independente, inclinação republicana","Protestante","Batistas do sul",2
2000,"Nunca casou",23,"Branca","US$ 1000 - 2999","Fortemente democrata","Protestante","Outra",0
2000,"Nunca casou",21,"Branca","Não sabe","Não fortemente repubicano","Protestante","Igreja Presbiteriana dos EUA",NA
2000,"Casado(a)",26,"Branca","US$ 10000 - 14999","Não fortemente repubicano","Protestante","Igreja metodista unida",2
2000,"Casado(a)",31,"Outra","US$ 25000 ou mais","Não fortemente repubicano","Cristã","Não se aplica",NA
2000,"Nunca casou",27,"Negra","US$ 25000 ou mais","Fortemente democrata","Protestante","Igrejas batistas dos EUA",4
2000,"Divorciado(a)",78,"Branca","Não se aplica","Independente, inclinação democrata","Protestante","Batistas do sul",4
2000,"Nunca casou",29,"Branca","US$ 10000 - 14999","Independente","Nenhuma","Não se aplica",NA
2000,"Viúvo(a)",43,"Negra","Não se aplica","Independente","Nenhuma","Não se aplica",3
2000,"Divorciado(a)",61,"Branca","US$ 25000 ou mais","Fortemente republicano","Católica","Não se aplica",NA
2000,"Casado(a)",33,"Branca","Não se aplica","Fortemente democrata","Protestante","Sem denominação",2
2000,"Nunca casou",34,"Negra","US$ 15000 - 19999","Fortemente democrata","Protestante","Convenção nacional batista dos EUA",NA
2000,"Nunca casou",89,"Branca","Não se aplica","Independente","Protestante","Igreja luterana americana",2
2000,"Viúvo(a)",83,"Negra","Não se aplica","Fortemente democrata","Protestante","Igreja metodista unida",12
2000,"Viúvo(a)",78,"Negra","Não se aplica","Fortemente democrata","Outra","Não se aplica",4
2000,"Viúvo(a)",89,"Negra","Não se aplica","Independente","Protestante","Batista, não sabe qual",8
2000,"Viúvo(a)",84,"Negra","Não se aplica","Fortemente democrata","Protestante","Convenção nacional batista da América",NA
2000,"Viúvo(a)",69,"Negra","Não se aplica","Não fortemente democrata","Protestante","Convenção nacional batista da América",4
2000,"Nunca casou",32,"Negra","US$ 10000 - 14999","Independente, inclinação democrata","Protestante","Convenção nacional batista dos EUA",5
2000,"Viúvo(a)",76,"Negra","Não se aplica","Fortemente democrata","Protestante","Batistas do sul",NA
2000,"Nunca casou",41,"Negra","Não se aplica","Fortemente democrata","Protestante","Convenção nacional batista da América",5
2000,"Casado(a)",32,"Negra","US$ 25000 ou mais","Fortemente democrata","Católica","Não se aplica",2
2000,"Nunca casou",29,"Negra","US$ 25000 ou mais","Não fortemente repubicano","Protestante","Batista, não sabe qual",4
2000,"Casado(a)",40,"Negra","US$ 25000 ou mais","Fortemente democrata","Protestante","Batistas do sul",1
2000,"Casado(a)",44,"Branca","US$ 3000 - 3999","Não fortemente repubicano","Protestante","Sínodo luterano",NA
2000,"Viúvo(a)",70,"Negra","Não se aplica","Fortemente democrata","Católica","Não se aplica",2
2000,"Casado(a)",40,"Negra","Se negou a responder","Independente, inclinação democrata","Protestante","Outra",3
2000,"Casado(a)",51,"Negra","US$ 3000 - 3999","Fortemente democrata","Protestante","Batista, não sabe qual",NA
2000,"Divorciado(a)",75,"Branca","Não se aplica","Fortemente democrata","Protestante","Associação batista estadounidense",7
2000,"Nunca casou",22,"Negra","US$ 20000 - 24999","Independente","Protestante","Batistas do sul",3
2000,"Separado(a)",53,"Negra","US$ 25000 ou mais","Fortemente democrata","Protestante","Batista, não sabe qual",1
2000,"Nunca casou",20,"Branca","US$ 10000 - 14999","Independente, inclinação democrata","Católica","Não se aplica",2
2000,"Viúvo(a)",80,"Branca","Não se aplica","Não fortemente democrata","Católica","Não se aplica",8
2000,"Viúvo(a)",70,"Branca","Se negou a responder","Não fortemente repubicano","Católica","Não se aplica",NA
2000,"Casado(a)",45,"Branca","US$ 25000 ou mais","Independente","Católica","Não se aplica",1
2000,"Divorciado(a)",46,"Branca","US$ 25000 ou mais","Não fortemente democrata","Inter não denominacional","Não se aplica",2
2000,"Nunca casou",24,"Branca","US$ 15000 - 19999","Independente, inclinação democrata","Católica","Não se aplica",3
2000,"Nunca casou",51,"Branca","US$ 20000 - 24999","Não fortemente repubicano","Católica","Não se aplica",NA
2000,"Nunca casou",32,"Branca","US$ 25000 ou mais","Não fortemente repubicano","Católica","Não se aplica",0
2000,"Casado(a)",53,"Branca","Se negou a responder","Independente","Católica","Não se aplica",4
2000,"Casado(a)",52,"Branca","Menos de US$ 1000","Independente, inclinação democrata","Nenhuma","Não se aplica",NA
2000,"Viúvo(a)",83,"Branca","Não se aplica","Não fortemente repubicano","Nenhuma","Não se aplica",NA
2000,"Divorciado(a)",39,"Branca","Se negou a responder","Independente","Nenhuma","Não se aplica",0
2000,"Casado(a)",47,"Branca","Se negou a responder","Não fortemente democrata","Protestante","Evangélica luterana",2
2000,"Casado(a)",45,"Branca","US$ 25000 ou mais","Não fortemente repubicano","Católica","Não se aplica",NA
2000,"Casado(a)",48,"Branca","Não se aplica","Independente","Nenhuma","Não se aplica",2
2000,"Casado(a)",50,"Outra","US$ 25000 ou mais","Não fortemente democrata","Hinduísmo","Não se aplica",NA
2000,"Viúvo(a)",78,"Branca","Não se aplica","Não fortemente democrata","Protestante","Igreja metodista unida",NA
2000,"Casado(a)",45,"Branca","Não se aplica","Fortemente republicano","Judaísmo","Não se aplica",NA
2000,"Divorciado(a)",56,"Branca","Se negou a responder","Não fortemente democrata","Judaísmo","Não se aplica",3
2000,"Divorciado(a)",47,"Branca","US$ 25000 ou mais","Fortemente democrata","Judaísmo","Não se aplica",1
2000,"Casado(a)",72,"Branca","US$ 25000 ou mais","Fortemente democrata","Judaísmo","Não se aplica",4
2000,"Nunca casou",29,"Outra","US$ 10000 - 14999","Independente, inclinação democrata","Protestante","Igreja Presbiteriana dos EUA",3
2000,"Casado(a)",26,"Branca","US$ 20000 - 24999","Independente, inclinação republicana","Nenhuma","Não se aplica",NA
2000,"Casado(a)",52,"Negra","Se negou a responder","Fortemente democrata","Nenhuma","Não se aplica",2
2000,"Separado(a)",39,"Outra","Se negou a responder","Não fortemente democrata","Nativa americana","Não se aplica",1
2000,"Casado(a)",30,"Outra","US$ 25000 ou mais","Não fortemente democrata","Nenhuma","Não se aplica",1
2000,"Nunca casou",48,"Negra","US$ 25000 ou mais","Independente","Nenhuma","Não se aplica",2
2000,"Divorciado(a)",62,"Negra","US$ 25000 ou mais","Fortemente democrata","Protestante","Episcopal",NA
2000,"Divorciado(a)",57,"Branca","US$ 25000 ou mais","Independente, inclinação republicana","Outra","Não se aplica",3
2000,"Separado(a)",60,"Branca","Não se aplica","Independente","Católica","Não se aplica",3
2000,"Casado(a)",47,"Branca","US$ 10000 - 14999","Independente, inclinação republicana","Católica","Não se aplica",5
2000,"Viúvo(a)",55,"Branca","Não se aplica","Não fortemente repubicano","Protestante","Episcopal",NA
2000,"Separado(a)",43,"Branca","Não se aplica","Não fortemente democrata","Católica","Não se aplica",1
2000,"Divorciado(a)",31,"Branca","Não se aplica","Não fortemente democrata","Católica","Não se aplica",NA
2000,"Casado(a)",44,"Branca","Não se aplica","Não fortemente democrata","Católica","Não se aplica",NA
2000,"Divorciado(a)",40,"Branca","Sem resposta","Independente, inclinação republicana","Protestante","Sem denominação",NA
2000,"Nunca casou",25,"Branca","Não se aplica","Independente","Católica","Não se aplica",4
2000,"Divorciado(a)",37,"Branca","US$ 20000 - 24999","Independente","Católica","Não se aplica",3
2000,"Divorciado(a)",56,"Branca","Se negou a responder","Independente","Protestante","Outra",2
2000,"Casado(a)",28,"Branca","Se negou a responder","Independente","Católica","Não se aplica",8
2000,"Nunca casou",36,"Negra","Não se aplica","Fortemente democrata","Protestante","Metodista, não sabe qual",12
2000,"Nunca casou",35,"Negra","Não se aplica","Fortemente democrata","Protestante","Igreja africana metodista episcopal",NA
2000,"Nunca casou",23,"Branca","US$ 3000 - 3999","Independente, inclinação democrata","Protestante","Luterana, não sabe qual",NA
2000,"Casado(a)",30,"Branca","US$ 10000 - 14999","Independente, inclinação democrata","Cristã","Não se aplica",NA
2000,"Casado(a)",32,"Branca","US$ 8000 - 9999","Independente, inclinação democrata","Nenhuma","Não se aplica",1
2000,"Divorciado(a)",50,"Negra","US$ 10000 - 14999","Independente, inclinação democrata","Inter não denominacional","Não se aplica",2
2000,"Viúvo(a)",38,"Negra","US$ 8000 - 9999","Independente, inclinação democrata","Protestante","Batista, não sabe qual",NA
2000,"Nunca casou",31,"Branca","US$ 20000 - 24999","Independente, inclinação republicana","Cristã","Não se aplica",1
2000,"Viúvo(a)",82,"Negra","Não se aplica","Fortemente democrata","Protestante","Batista, não sabe qual",4
2000,"Divorciado(a)",73,"Branca","Não se aplica","Não fortemente democrata","Católica","Não se aplica",3
2000,"Separado(a)",57,"Negra","Não se aplica","Independente, inclinação democrata","Nenhuma","Não se aplica",0
2000,"Viúvo(a)",60,"Negra","Não se aplica","Fortemente democrata","Católica","Não se aplica",NA
2000,"Nunca casou",76,"Branca","Não se aplica","Não fortemente repubicano","Protestante","Igrejas batistas dos EUA",12
2000,"Viúvo(a)",70,"Negra","Não se aplica","Não fortemente democrata","Protestante","Batista, não sabe qual",5
2000,"Viúvo(a)",87,"Negra","Não sabe","Fortemente democrata","Protestante","Batista, não sabe qual",10
2000,"Viúvo(a)",70,"Branca","Não se aplica","Não fortemente democrata","Católica","Não se aplica",NA
2000,"Viúvo(a)",78,"Branca","Não se aplica","Não fortemente repubicano","Protestante","Igreja metodista unida",0
2000,"Nunca casou",32,"Negra","US$ 15000 - 19999","Fortemente democrata","Nenhuma","Não se aplica",NA
2000,"Nunca casou",58,"Negra","US$ 1000 - 2999","Não fortemente democrata","Protestante","Outras metodistas",NA
2000,"Nunca casou",29,"Negra","US$ 8000 - 9999","Independente, inclinação republicana","Nenhuma","Não se aplica",2
2000,"Nunca casou",39,"Negra","US$ 25000 ou mais","Fortemente democrata","Protestante","Batista, não sabe qual",NA
2000,"Nunca casou",44,"Negra","Não se aplica","Não fortemente democrata","Protestante","Outras metodistas",3
2000,"Nunca casou",40,"Outra","US$ 25000 ou mais","Independente","Nenhuma","Não se aplica",1
2000,"Nunca casou",36,"Outra","Não se aplica","Fortemente democrata","Católica","Não se aplica",5
2000,"Casado(a)",52,"Branca","Se negou a responder","Não fortemente repubicano","Católica","Não se aplica",1
2000,"Casado(a)",41,"Branca","US$ 20000 - 24999","Fortemente republicano","Protestante","Associação batista estadounidense",NA
2000,"Separado(a)",48,"Negra","US$ 25000 ou mais","Não fortemente democrata","Protestante","Batista, não sabe qual",3
2000,"Nunca casou",33,"Branca","US$ 20000 - 24999","Independente","Nenhuma","Não se aplica",4
2000,"Viúvo(a)",65,"Branca","Não se aplica","Fortemente democrata","Católica","Não se aplica",NA
2000,"Viúvo(a)",41,"Branca","US$ 25000 ou mais","Independente, inclinação democrata","Católica","Não se aplica",NA
2000,"Casado(a)",58,"Branca","US$ 25000 ou mais","Não fortemente repubicano","Protestante","Igrejas batistas dos EUA",2
2000,"Casado(a)",48,"Branca","US$ 25000 ou mais","Independente, inclinação democrata","Católica","Não se aplica",1
2000,"Casado(a)",63,"Negra","Não se aplica","Fortemente democrata","Protestante","Batista, não sabe qual",6
2000,"Casado(a)",43,"Branca","US$ 15000 - 19999","Independente","Protestante","Outra",NA
2000,"Casado(a)",62,"Branca","US$ 10000 - 14999","Independente, inclinação democrata","Protestante","Sem denominação",NA
2000,"Nunca casou",48,"Branca","US$ 25000 ou mais","Independente","Católica","Não se aplica",NA
2000,"Casado(a)",49,"Branca","Sem resposta","Independente, inclinação democrata","Nenhuma","Não se aplica",2
2000,"Divorciado(a)",48,"Branca","US$ 25000 ou mais","Independente","Protestante","Sem denominação",4
2000,"Nunca casou",19,"Branca","US$ 1000 - 2999","Não fortemente repubicano","Católica","Não se aplica",NA
2000,"Casado(a)",70,"Branca","Não se aplica","Não fortemente democrata","Católica","Não se aplica",NA
2000,"Casado(a)",42,"Branca","US$ 25000 ou mais","Não fortemente repubicano","Protestante","Outras luteranas",2
2000,"Casado(a)",36,"Branca","Se negou a responder","Não fortemente democrata","Católica","Não se aplica",1
2000,"Nunca casou",30,"Branca","US$ 25000 ou mais","Independente","Nenhuma","Não se aplica",2
2000,"Nunca casou",32,"Branca","US$ 20000 - 24999","Não fortemente repubicano","Protestante","Igreja luterana dos EUA",2
2000,"Casado(a)",36,"Branca","US$ 25000 ou mais","Fortemente republicano","Protestante","Evangélica luterana",5
2000,"Casado(a)",38,"Branca","Não se aplica","Fortemente republicano","Protestante","Igreja luterana dos EUA",15
2000,"Casado(a)",58,"Branca","US$ 25000 ou mais","Independente, inclinação republicana","Protestante","Igreja luterana dos EUA",NA
2000,"Casado(a)",47,"Branca","Não se aplica","Outro partido","Católica","Não se aplica",1
2000,"Casado(a)",55,"Branca","US$ 25000 ou mais","Não fortemente democrata","Católica","Não se aplica",NA
2000,"Casado(a)",72,"Branca","Não se aplica","Fortemente republicano","Protestante","Presbiteriana, fusionadas",2
2000,"Casado(a)",31,"Branca","Se negou a responder","Fortemente republicano","Católica","Não se aplica",2
2000,"Casado(a)",45,"Branca","Se negou a responder","Fortemente republicano","Judaísmo","Não se aplica",NA
2000,"Casado(a)",45,"Outra","Se negou a responder","Independente","Nenhuma","Não se aplica",0
2000,"Viúvo(a)",85,"Branca","Não se aplica","Independente, inclinação republicana","Protestante","Evangélica luterana",2
2000,"Viúvo(a)",48,"Negra","US$ 25000 ou mais","Não fortemente repubicano","Católica","Não se aplica",1
2000,"Casado(a)",50,"Branca","Sem resposta","Sem resposta","Sem resposta","Sem resposta",2
2000,"Casado(a)",50,"Branca","US$ 25000 ou mais","Não fortemente democrata","Judaísmo","Não se aplica",2
2000,"Casado(a)",51,"Branca","US$ 25000 ou mais","Fortemente democrata","Judaísmo","Não se aplica",2
2000,"Divorciado(a)",48,"Branca","US$ 25000 ou mais","Fortemente democrata","Protestante","Episcopal",NA
2000,"Casado(a)",45,"Negra","Não se aplica","Não fortemente democrata","Protestante","Batista, não sabe qual",NA
2000,"Casado(a)",39,"Branca","Menos de US$ 1000","Não fortemente democrata","Judaísmo","Não se aplica",NA
2000,"Nunca casou",38,"Branca","US$ 25000 ou mais","Não fortemente democrata","Protestante","Episcopal",1
2000,"Nunca casou",40,"Branca","US$ 25000 ou mais","Fortemente democrata","Judaísmo","Não se aplica",NA
2000,"Nunca casou",33,"Branca","US$ 8000 - 9999","Não fortemente democrata","Nenhuma","Não se aplica",1
2000,"Divorciado(a)",56,"Branca","US$ 25000 ou mais","Não fortemente democrata","Católica","Não se aplica",NA
2000,"Nunca casou",67,"Branca","US$ 25000 ou mais","Fortemente democrata","Protestante","Evangélica luterana",1
2000,"Nunca casou",43,"Negra","US$ 25000 ou mais","Fortemente democrata","Nenhuma","Não se aplica",3
2000,"Casado(a)",56,"Branca","Se negou a responder","Não fortemente democrata","Nenhuma","Não se aplica",1
2000,"Nunca casou",48,"Negra","Não se aplica","Fortemente democrata","Protestante","Associação batista estadounidense",NA
2000,"Separado(a)",32,"Outra","Não se aplica","Fortemente republicano","Protestante","Outra",4
2000,"Nunca casou",23,"Negra","Não se aplica","Independente, inclinação republicana","Protestante","Associação batista estadounidense",8
2000,"Nunca casou",28,"Negra","Não se aplica","Não fortemente repubicano","Católica","Não se aplica",6
2000,"Divorciado(a)",48,"Negra","US$ 10000 - 14999","Fortemente democrata","Protestante","Associação batista estadounidense",4
2000,"Viúvo(a)",77,"Negra","US$ 3000 - 3999","Fortemente democrata","Católica","Não se aplica",2
2000,"Separado(a)",38,"Negra","Não se aplica","Independente, inclinação democrata","Protestante","Associação batista estadounidense",10
2000,"Casado(a)",40,"Branca","US$ 10000 - 14999","Não fortemente repubicano","Católica","Não se aplica",NA
2000,"Casado(a)",39,"Branca","US$ 3000 - 3999","Independente, inclinação republicana","Protestante","Associação batista estadounidense",2
2000,"Separado(a)",30,"Branca","US$ 25000 ou mais","Fortemente democrata","Nenhuma","Não se aplica",1
2000,"Divorciado(a)",45,"Branca","US$ 25000 ou mais","Independente","Inter não denominacional","Não se aplica",NA
2000,"Divorciado(a)",52,"Branca","US$ 8000 - 9999","Independente, inclinação democrata","Nenhuma","Não se aplica",2
2000,"Nunca casou",53,"Branca","US$ 25000 ou mais","Não fortemente democrata","Protestante","Outra",3
2000,"Casado(a)",53,"Branca","US$ 10000 - 14999","Não fortemente repubicano","Protestante","Episcopal",1
2000,"Casado(a)",39,"Branca","US$ 25000 ou mais","Não fortemente democrata","Protestante","Sem denominação",NA
2000,"Casado(a)",78,"Branca","Não se aplica","Não fortemente repubicano","Protestante","Outra",5
2000,"Casado(a)",41,"Branca","US$ 25000 ou mais","Não fortemente democrata","Nenhuma","Não se aplica",5
2000,"Casado(a)",30,"Branca","Não se aplica","Fortemente republicano","Protestante","Sem denominação",11
2000,"Nunca casou",20,"Branca","US$ 1000 - 2999","Independente","Católica","Não se aplica",NA
2000,"Nunca casou",26,"Branca","US$ 8000 - 9999","Independente, inclinação democrata","Católica","Não se aplica",NA
2000,"Nunca casou",21,"Branca","US$ 25000 ou mais","Independente, inclinação democrata","Católica","Não se aplica",5
2000,"Casado(a)",31,"Branca","Menos de US$ 1000","Não fortemente democrata","Nenhuma","Não se aplica",2
2000,"Casado(a)",32,"Outra","US$ 25000 ou mais","Não fortemente repubicano","Católica","Não se aplica",2
2000,"Separado(a)",45,"Branca","US$ 25000 ou mais","Fortemente democrata","Protestante","Sínodo evangélico luterano de Wisconsin",1
2000,"Casado(a)",28,"Branca","US$ 25000 ou mais","Não fortemente democrata","Católica","Não se aplica",NA
2000,"Nunca casou",21,"Branca","US$ 20000 - 24999","Não fortemente democrata","Católica","Não se aplica",3
2000,"Casado(a)",36,"Branca","US$ 25000 ou mais","Independente, inclinação democrata","Nenhuma","Não se aplica",NA
2000,"Nunca casou",35,"Branca","US$ 15000 - 19999","Outro partido","Nenhuma","Não se aplica",2
2000,"Divorciado(a)",38,"Branca","US$ 25000 ou mais","Independente, inclinação democrata","Inter não denominacional","Não se aplica",NA
2000,"Nunca casou",NA,"Branca","Se negou a responder","Fortemente democrata","Católica","Não se aplica",2
2000,"Nunca casou",28,"Branca","US$ 25000 ou mais","Outro partido","Protestante","Sem denominação",0
2000,"Nunca casou",62,"Branca","US$ 8000 - 9999","Independente, inclinação democrata","Católica","Não se aplica",NA
2000,"Casado(a)",53,"Branca","US$ 25000 ou mais","Não fortemente repubicano","Protestante","Outra",NA
2000,"Casado(a)",27,"Outra","US$ 25000 ou mais","Não fortemente democrata","Nenhuma","Não se aplica",NA
2000,"Nunca casou",45,"Branca","Não se aplica","Independente, inclinação democrata","Católica","Não se aplica",6
2000,"Casado(a)",46,"Branca","US$ 25000 ou mais","Não fortemente democrata","Católica","Não se aplica",4
2000,"Viúvo(a)",82,"Branca","Não se aplica","Fortemente democrata","Protestante","Igreja luterana dos EUA",4
2000,"Casado(a)",56,"Branca","US$ 25000 ou mais","Independente, inclinação democrata","Protestante","Igreja metodista unida",5
2000,"Nunca casou",42,"Branca","US$ 3000 - 3999","Independente, inclinação democrata","Católica","Não se aplica",NA
2000,"Divorciado(a)",66,"Branca","Não se aplica","Independente","Protestante","Sem denominação",8
2000,"Casado(a)",36,"Outra","US$ 25000 ou mais","Fortemente republicano","Cristã","Não se aplica",1
2000,"Separado(a)",49,"Branca","US$ 25000 ou mais","Fortemente democrata","Outra","Não se aplica",1
2000,"Casado(a)",72,"Branca","US$ 25000 ou mais","Fortemente democrata","Nenhuma","Não se aplica",2
2000,"Casado(a)",53,"Branca","Não se aplica","Independente","Protestante","Outra",2
2000,"Casado(a)",42,"Branca","Não se aplica","Não fortemente repubicano","Protestante","Sem denominação",NA
2000,"Viúvo(a)",79,"Branca","Não se aplica","Fortemente republicano","Protestante","Episcopal",1
2000,"Casado(a)",50,"Branca","Não se aplica","Fortemente republicano","Católica","Não se aplica",1
2000,"Viúvo(a)",50,"Outra","Não se aplica","Não fortemente democrata","Protestante","Outra",4
2000,"Casado(a)",32,"Branca","US$ 25000 ou mais","Não fortemente repubicano","Católica","Não se aplica",NA
2000,"Nunca casou",20,"Outra","US$ 3000 - 3999","Fortemente democrata","Nenhuma","Não se aplica",NA
2000,"Casado(a)",51,"Branca","US$ 25000 ou mais","Independente, inclinação democrata","Protestante","Batistas do sul",4
2000,"Casado(a)",35,"Outra","US$ 6000 - 6999","Não fortemente democrata","Budismo","Não se aplica",11
2000,"Casado(a)",54,"Outra","US$ 15000 - 19999","Não fortemente democrata","Católica","Não se aplica",1
2000,"Viúvo(a)",65,"Branca","US$ 6000 - 6999","Fortemente democrata","Católica","Não se aplica",0
2000,"Casado(a)",36,"Branca","Não se aplica","Independente, inclinação republicana","Católica","Não se aplica",4
2000,"Casado(a)",48,"Branca","US$ 25000 ou mais","Fortemente democrata","Judaísmo","Não se aplica",NA
2000,"Casado(a)",54,"Branca","Não se aplica","Fortemente republicano","Protestante","Outras batistas",3
2000,"Divorciado(a)",62,"Branca","Não se aplica","Fortemente democrata","Protestante","Igreja luterana americana",3
2000,"Nunca casou",51,"Branca","US$ 25000 ou mais","Independente, inclinação republicana","Nenhuma","Não se aplica",4
2000,"Casado(a)",38,"Branca","US$ 4000 - 4999","Não fortemente repubicano","Nenhuma","Não se aplica",NA
2000,"Casado(a)",85,"Branca","Não se aplica","Não fortemente repubicano","Nenhuma","Não se aplica",2
2000,"Divorciado(a)",67,"Branca","Não se aplica","Fortemente republicano","Protestante","Metodista, não sabe qual",1
2000,"Casado(a)",48,"Branca","US$ 10000 - 14999","Fortemente republicano","Protestante","Associação batista estadounidense",1
2000,"Nunca casou",29,"Branca","US$ 25000 ou mais","Independente","Católica","Não se aplica",NA
