"ordem","pid","moradia_classe","moradia_zoneamento","lote_fachada","lote_area","rua_tipo","beco_tipo","lote_formato","terreno_contorno","utilidades","lote_config","terreno_declive","vizinhanca","condicao_1","condicao_2","moradia_tipo","moradia_estilo","geral_qualidade","geral_condicao","construcao_ano","remodelacao_ano","telhado_estilo","telhado_material","exterior_cobertura_1","exterior_cobertura_2","alvenaria_tipo","alvenaria_area","exterior_qualidade","exterior_condicao","fundacao_tipo","porao_qualidade","porao_condicao","porao_exposicao","porao_acabamento_1","porao_area_com_acabamento_1","porao_acabamento_2","porao_area_com_acabamento_2","porao_area_sem_acabamento","porao_area_total","porao_num_banheiros","porao_num_banheiros_lavabos","aquecimento_tipo","aquecimento_qualidade_condicao","ar_condicionado_central","sistema_eletrico_tipo","primeiro_andar_area","segundo_andar_area","acabamento_baixa_qualidade_area","acima_solo_area","acima_solo_num_banheiros","acima_solo_num_lavabos","acima_solo_num_quartos","acima_solo_num_cozinhas","cozinha_qualidade","acima_solo_num_comodos","funcional","total_num_lareiras","lareira_qualidade","garagem_tipo","garagem_ano_construcao","garagem_acabamento","garagem_capacidade_carros","garagem_area","garagem_qualidade","garagem_condicao","entrada_veiculo_pavimentada","deck_madeira_area","varanda_aberta_area","varanda_fechada_area","varanda_3ssn_area","varanda_com_tela_area","piscina_area","piscina_qualidade","cerca_qualidade","funcionalidades_diversas","funcionalidades_valor","venda_mes","venda_ano","venda_tipo","venda_condicao","venda_valor"
11,"0527163010","060","Residencial baixa densidade",75,10000,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote de esquina","declive leve","Gilbert","normal","normal","família única","dois andares","acima da média","média",1993,1994,"duas águas","telha padrão (composto)","placa dura","placa dura","nenhum",0,"m\u00e9dia","média","concreto derrramado","boa","média","No","não finalizado",0,"não finalizado",0,763,763,0,0,"forno de ar quente a gás","boa","Y","disjuntores padrão e Romex",763,892,0,1655,2,1,3,1,"média",7,"funcionalidade típica",1,"média","anexada à casa",1993,"terminada",2,440,"média","média","Y",157,84,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","venda normal",175900
12,"0527165230","020","Residencial baixa densidade",NA,7980,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Gilbert","normal","normal","família única","um andar","acima da média","boa",1992,2007,"duas águas","telha padrão (composto)","placa dura","placa dura","nenhum",0,"m\u00e9dia","boa","concreto derrramado","boa","média","No","alojamento médio",935,"não finalizado",0,233,1168,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1187,0,0,1187,2,0,3,1,"média",6,"funcionalidade típica",0,NA,"anexada à casa",1992,"terminada",2,420,"média","média","Y",483,21,0,0,0,0,NA,"boa privacidade","galpão",500,3,2010,"WD ","venda normal",185000
13,"0527166040","060","Residencial baixa densidade",63,8402,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Gilbert","normal","normal","família única","dois andares","acima da média","média",1998,1998,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"m\u00e9dia","média","concreto derrramado","boa","média","No","não finalizado",0,"não finalizado",0,789,789,0,0,"forno de ar quente a gás","boa","Y","disjuntores padrão e Romex",789,676,0,1465,2,1,3,1,"média",7,"funcionalidade típica",1,"boa","anexada à casa",1998,"terminada",2,393,"média","média","Y",0,75,0,0,0,0,NA,NA,NA,0,5,2010,"WD ","venda normal",180400
14,"0527180040","020","Residencial baixa densidade",85,10176,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Gilbert","normal","normal","família única","um andar","boa","média",1990,1990,"duas águas","telha padrão (composto)","placa dura","placa dura","nenhum",0,"m\u00e9dia","média","concreto derrramado","boa","média","exposição boa","alojamento bom",637,"não finalizado",0,663,1300,1,0,"forno de ar quente a gás","boa","Y","disjuntores padrão e Romex",1341,0,0,1341,1,1,2,1,"boa",5,"funcionalidade típica",1,"ruim","anexada à casa",1990,"não terminada",2,506,"média","média","Y",192,0,0,0,0,0,NA,NA,NA,0,2,2010,"WD ","venda normal",171500
15,"0527182190","desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos)","Residencial baixa densidade",NA,6820,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote de esquina","declive leve","Stone Brook","normal","normal","unidade interna de moradia","um andar","muito boa","média",1985,1985,"duas águas","telha padrão (composto)","placa dura","placa dura","nenhum",0,"boa","média","concreto derrramado","boa","média","exposição média","alojamento bom",368,"alojamento abaixo da média",1120,0,1488,1,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",1502,0,0,1502,1,1,1,1,"boa",4,"funcionalidade típica",0,NA,"anexada à casa",1985,"acabamento grosseiro",2,528,"média","média","Y",0,54,0,0,140,0,NA,NA,NA,0,6,2010,"WD ","venda normal",212000
16,"0527216070","060","Residencial baixa densidade",47,53504,"pavimentada",NA,"moderadamente irregular","encosta","todas as utilidades p\u00fablicas","rua sem saída","declive moderado","Stone Brook","normal","normal","família única","dois andares","muito boa","média",2003,2003,"quadril","telha padrão (composto)","placa de cimento","Wd Shng","face de tijolo",603,"excelente","média","concreto derrramado","boa","média","exposição boa","alojamento médio",1416,"não finalizado",0,234,1650,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1690,1589,0,3279,3,1,4,1,"excelente",12,"deduções moderadas",1,"boa","embutida",2003,"terminada",3,841,"média","média","Y",503,36,0,0,210,0,NA,NA,NA,0,6,2010,"WD ","venda normal",538000
17,"0527225035","050","Residencial baixa densidade",152,12134,"pavimentada",NA,"levemente irregular","bancada","todas as utilidades p\u00fablicas","lote interno","declive moderado","Gilbert","normal","normal","família única","um andar e meio (segundo nível terminado)","muito boa","boa",1988,2005,"duas águas","telha padrão (composto)","tapume de madeira","tapume de madeira","nenhum",0,"boa","média","madeira","boa","média","exposição média","alojamento bom",427,"não finalizado",0,132,559,0,0,"forno de ar quente a gás","boa","Y","disjuntores padrão e Romex",1080,672,0,1752,2,0,4,1,"média",8,"funcionalidade típica",0,NA,"garagem no porão",1988,"acabamento grosseiro",2,492,"média","média","Y",325,12,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","venda normal",164000
18,"0527258010","020","Residencial baixa densidade",88,11394,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote de esquina","declive leve","Stone Brook","normal","normal","família única","um andar","excelente","ruim",2010,2010,"quadril","telha padrão (composto)","tapume de vinil","tapume de vinil","pedra",350,"boa","média","concreto derrramado","excelente","média","exposição média","alojamento bom",1445,"não finalizado",0,411,1856,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1856,0,0,1856,1,1,1,1,"excelente",8,"funcionalidade típica",1,"excelente","anexada à casa",2010,"terminada",3,834,"média","média","Y",113,0,0,0,0,0,NA,NA,NA,0,6,2010,"casa recém-construída e vendida","casa não foi concluída na última avaliação",394432
19,"0527276150","020","Residencial baixa densidade",140,19138,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote de esquina","declive leve","Gilbert","normal","normal","família única","um andar","abaixo da média","média",1951,1951,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"m\u00e9dia","média","bloco de concreto","média","média","No","baixa qualidade",120,"não finalizado",0,744,864,0,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",864,0,0,864,1,0,2,1,"média",4,"funcionalidade típica",0,NA,"garagem não anexada à casa",1951,"não terminada",2,400,"média","média","Y",0,0,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","venda normal",141000
20,"0527302110","020","Residencial baixa densidade",85,13175,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Northwest Ames","normal","normal","família única","um andar","acima da média","acima da média",1978,1988,"duas águas","telha padrão (composto)","madeirra compensada","madeirra compensada","pedra",119,"m\u00e9dia","média","bloco de concreto","boa","média","No","alojamento médio",790,"sala de recreação média",163,589,1542,1,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",2073,0,0,2073,2,0,3,1,"média",7,"deduções menores 1",2,"média","anexada à casa",1978,"não terminada",2,500,"média","média","Y",349,0,0,0,0,0,NA,"mínima privacidade",NA,0,2,2010,"WD ","venda normal",210000
21,"0527358140","020","Residencial baixa densidade",105,11751,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Northwest Ames","normal","normal","família única","um andar","acima da média","acima da média",1977,1977,"quadril","telha padrão (composto)","madeirra compensada","madeirra compensada","face de tijolo",480,"m\u00e9dia","média","bloco de concreto","boa","média","No","alojamento abaixo da média",705,"não finalizado",0,1139,1844,0,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1844,0,0,1844,2,0,3,1,"média",7,"funcionalidade típica",1,"média","anexada à casa",1977,"acabamento grosseiro",2,546,"média","média","Y",0,122,0,0,0,0,NA,"mínima privacidade",NA,0,1,2010,"escritura / propriedade do oficial de justiça","venda normal",190000
22,"0527358200","salão de entrada dividido (split foyer)","Residencial baixa densidade",85,10625,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Northwest Ames","normal","normal","família única","hall de entrada dividido (split foyer)","boa","acima da média",1974,1974,"duas águas","telha padrão (composto)","madeirra compensada","madeirra compensada","face de tijolo",81,"m\u00e9dia","média","bloco de concreto","boa","média","exposição boa","alojamento bom",885,"baixa qualidade",168,0,1053,1,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",1173,0,0,1173,2,0,3,1,"boa",6,"funcionalidade típica",2,"média","anexada à casa",1974,"acabamento grosseiro",2,528,"média","média","Y",0,120,0,0,0,0,NA,"mínima privacidade",NA,0,1,2010,"WD ","venda entre membros de família",170000
23,"0527368020","060","Residencial vila flutuante",NA,7500,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Somerset","normal","normal","família única","dois andares","boa","média",2000,2000,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"boa","média","concreto derrramado","boa","média","No","alojamento bom",533,"não finalizado",0,281,814,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",814,860,0,1674,2,1,3,1,"boa",7,"funcionalidade típica",0,NA,"anexada à casa",2000,"acabamento grosseiro",2,663,"média","média","Y",0,96,0,0,0,0,NA,NA,NA,0,1,2010,"WD ","venda normal",216000
24,"0527402200","020","Residencial baixa densidade",NA,11241,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","rua sem saída","declive leve","NAmes","normal","normal","família única","um andar","acima da média","boa",1970,1970,"duas águas","telha padrão (composto)","tapume de madeira","tapume de madeira","face de tijolo",180,"m\u00e9dia","média","bloco de concreto","média","média","No","alojamento médio",578,"não finalizado",0,426,1004,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1004,0,0,1004,1,0,2,1,"média",5,"funcionalidade típica",1,"média","anexada à casa",1970,"terminada",2,480,"média","média","Y",0,0,0,0,0,0,NA,NA,"galpão",700,3,2010,"WD ","venda normal",149000
25,"0527402250","020","Residencial baixa densidade",NA,12537,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","rua sem saída","declive leve","NAmes","normal","normal","família única","um andar","média","acima da média",1971,2008,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"m\u00e9dia","média","bloco de concreto","média","média","No","alojamento bom",734,"não finalizado",0,344,1078,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1078,0,0,1078,1,1,3,1,"média",6,"funcionalidade típica",1,"regular","anexada à casa",1971,"terminada",2,500,"média","média","Y",0,0,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","venda normal",149900
26,"0527403020","020","Residencial baixa densidade",65,8450,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","NAmes","normal","normal","família única","um andar","média","acima da média",1968,1968,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"m\u00e9dia","média","bloco de concreto","média","média","No","alojamento abaixo da média",775,"não finalizado",0,281,1056,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1056,0,0,1056,1,0,3,1,"média",6,"funcionalidade típica",1,"regular","anexada à casa",1968,"não terminada",1,304,"média","média","Y",0,85,184,0,0,0,NA,NA,NA,0,7,2010,"WD ","venda normal",142000
27,"0527404120","020","Residencial baixa densidade",70,8400,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote de esquina","declive leve","NAmes","normal","normal","família única","um andar","abaixo da média","média",1970,1970,"duas águas","telha padrão (composto)","madeirra compensada","madeirra compensada","nenhum",0,"m\u00e9dia","média","bloco de concreto","média","média","No","alojamento médio",804,"sala de recreação média",78,0,882,1,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",882,0,0,882,1,0,2,1,"média",4,"funcionalidade típica",0,NA,"anexada à casa",1970,"terminada",2,525,"média","média","Y",240,0,0,0,0,0,NA,"mínima privacidade",NA,0,4,2010,"WD ","venda normal",126000
28,"0527425090","020","Residencial baixa densidade",70,10500,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","fachada em dois lados da propriedade","declive leve","NAmes","normal","normal","família única","um andar","abaixo da média","média",1971,1971,"duas águas","telha padrão (composto)","placa dura","placa dura","nenhum",0,"m\u00e9dia","média","bloco de concreto","média","média","No","alojamento médio",432,"não finalizado",0,432,864,0,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",864,0,0,864,1,0,3,1,"média",5,"funcionalidade típica",1,"ruim",NA,NA,NA,0,0,NA,NA,"Y",0,0,0,0,0,0,NA,NA,NA,0,4,2010,"contrato de juros baixos","venda normal",115000
29,"0527427230","desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos)","Residencial alta densidade",26,5858,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","fachada em dois lados da propriedade","declive leve","NAmes","normal","normal","unidade interna de moradia","um andar","boa","média",1999,1999,"duas águas","telha padrão (composto)","tapume de metal","tapume de metal","nenhum",0,"boa","média","concreto derrramado","boa","média","No","alojamento bom",1051,"alojamento abaixo da média",0,354,1405,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1337,0,0,1337,2,0,2,1,"boa",5,"funcionalidade típica",1,"regular","anexada à casa",1999,"terminada",2,511,"média","média","Y",203,68,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","venda normal",184000
30,"0527451180","desenvolvimento de unidade planejada (PUD) de 2 andares (1946 e mais novas)","Residencial média densidade",21,1680,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Briardale","normal","normal","unidade final de moradia","dois andares","acima da média","média",1971,1971,"duas águas","telha padrão (composto)","placa dura","placa dura","face de tijolo",504,"m\u00e9dia","média","bloco de concreto","média","média","No","sala de recreação média",156,"não finalizado",0,327,483,0,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",483,504,0,987,1,1,2,1,"média",5,"funcionalidade típica",0,NA,"garagem não anexada à casa",1971,"não terminada",1,264,"média","média","Y",275,0,0,0,0,0,NA,NA,NA,0,2,2010,"escritura / propriedade do oficial de justiça","venda normal",96000
31,"0527451330","desenvolvimento de unidade planejada (PUD) de 2 andares (1946 e mais novas)","Residencial média densidade",21,1680,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Briardale","normal","normal","unidade final de moradia","dois andares","média","média",1971,1971,"duas águas","telha padrão (composto)","placa dura","placa dura","face de tijolo",492,"m\u00e9dia","média","bloco de concreto","média","média","No","sala de recreação média",300,"não finalizado",0,225,525,0,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",525,567,0,1092,1,1,3,1,"média",6,"funcionalidade típica",0,NA,"garagem não anexada à casa",1997,"não terminada",1,320,"média","média","Y",0,0,0,0,0,0,NA,NA,NA,0,3,2010,"WD ","venda normal",105500
32,"0527451410","desenvolvimento de unidade planejada (PUD) de 2 andares (1946 e mais novas)","Residencial média densidade",21,1680,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Briardale","normal","normal","unidade final de moradia","dois andares","acima da média","média",1971,1971,"duas águas","telha padrão (composto)","placa dura","imitação de reboco","face de tijolo",381,"m\u00e9dia","média","bloco de concreto","média","média","No","não finalizado",0,"não finalizado",0,525,525,0,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",525,567,0,1092,1,1,3,1,"média",6,"funcionalidade típica",0,NA,"garagem não anexada à casa",1971,"não terminada",1,264,"média","média","Y",0,0,0,0,0,0,NA,NA,NA,0,3,2010,"WD ","venda entre membros de família",88000
33,"0527452190","desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos)","Residencial baixa densidade",53,4043,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Northpark Villa","normal","normal","unidade interna de moradia","um andar","acima da média","média",1977,1977,"duas águas","telha padrão (composto)","madeirra compensada","madeirra compensada","nenhum",0,"m\u00e9dia","média","bloco de concreto","boa","média","No","alojamento médio",360,"não finalizado",0,709,1069,0,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",1069,0,0,1069,2,0,2,1,"média",4,"funcionalidade típica",1,"regular","anexada à casa",1977,"acabamento grosseiro",2,440,"média","média","Y",0,55,0,0,165,0,NA,NA,NA,0,7,2010,"WD ","venda normal",127500
34,"0527453130","desenvolvimento de unidade planejada (PUD) de 2 andares (1946 e mais novas)","Residencial baixa densidade",24,2280,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","fachada em dois lados da propriedade","declive leve","Northpark Villa","normal","normal","unidade final de moradia","dois andares","acima da média","acima da média",1975,1975,"duas águas","telha padrão (composto)","madeirra compensada","Brk Cmn","nenhum",0,"m\u00e9dia","média","bloco de concreto","média","média","No","alojamento médio",514,"não finalizado",0,341,855,0,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",855,601,0,1456,2,1,3,1,"boa",6,"funcionalidade típica",1,"média","anexada à casa",1975,"não terminada",2,440,"média","média","Y",173,0,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","venda normal",149900
